Rank,Parent Dish Class,Frequency (Votes),Consensus (Popularity %)
129,Keema,3,2.65%
130,Peshawari Ice Cream,3,2.65%
131,Murgh Karahi,3,2.65%
132,Chicken Jalfrezi,3,2.65%
133,Peshawari Chicken Karahi,3,2.65%
134,Mutton Tikka,3,2.65%
135,Achari Gosht,3,2.65%
136,Chai,3,2.65%
137,Gulab Jaman,3,2.65%
138,Doodh Patti,3,2.65%
139,Seviyan,3,2.65%
140,Chicken Handi,3,2.65%
141,Aloo Sabzi,3,2.65%
142,Tahri,3,2.65%
143,Anda Shami Burger,3,2.65%
144,White Karahi,3,2.65%
145,Palak Chicken,3,2.65%
146,Halwa,3,2.65%
147,Fruit Chaat,3,2.65%
148,Chicken Malai Tikka,3,2.65%
149,Gajar Halwa,3,2.65%
150,Chicken Reshmi Kabab,3,2.65%
151,White Mutton Biryani,3,2.65%
152,Matka Kulfi,3,2.65%
153,Tarka Daal,3,2.65%
154,Butter Chicken,3,2.65%
155,Dampukht,3,2.65%
156,Channa Chaat,3,2.65%
157,Dahi Bhalay,3,2.65%
158,Parathas,3,2.65%
159,Bun Kebab,3,2.65%
160,Tandoori Roti,3,2.65%
161,Dumba Karahi,3,2.65%
162,Punjabi Dal,2,1.77%
163,Keema Matar,2,1.77%
164,Baingan Bharta,2,1.77%
165,Mix Daal,2,1.77%
166,Chinese Rice,2,1.77%
167,Daal Moong,2,1.77%
168,Daal ka Soup,2,1.77%
169,Chinese Chow Mein,2,1.77%
170,French Fries,2,1.77%
171,Katlama,2,1.77%
172,Omelette,2,1.77%
173,Sabzi Pulao,2,1.77%
174,Pizza,2,1.77%
175,Dal Khichdi,2,1.77%
176,Fry Fish,2,1.77%
177,Chicken Roast,2,1.77%
178,Lamb Biryani,2,1.77%
179,Chole,2,1.77%
180,Kurkuri Bhindi,2,1.77%
181,Giyaling,2,1.77%
182,Go-lee,2,1.77%
183,Diram Fitti,2,1.77%
184,Makki Di Roti,2,1.77%
185,Sarson Da Saag,2,1.77%
186,Sai Bhaji,2,1.77%
187,Chicken Tandoori,2,1.77%
188,Chicken Sajji,2,1.77%
189,Namkeen Tikka,2,1.77%
190,Mutton Salan,2,1.77%
191,Beef Stew,2,1.77%
192,Boneless Chicken,2,1.77%
193,Pakistani Bread,2,1.77%
194,Diet Chicken,2,1.77%
195,Makki Ki Roti,2,1.77%
196,Beef Kaleji,2,1.77%
197,Kashmiri Chicken Korma,2,1.77%
198,Chicken Peshawari Karahi,2,1.77%
199,Mutton Raan,2,1.77%
200,Chicken Pakwan,2,1.77%
201,Beef Burger,2,1.77%
202,Tamatar,2,1.77%
203,Pai Recipes,2,1.77%
204,Chicken Rice,2,1.77%
205,Chicken Multani,2,1.77%
206,Lemon Chicken,2,1.77%
207,Maghaz,2,1.77%
208,Masala Fish,2,1.77%
209,Mutton Gosht,2,1.77%
210,Steam Fish,2,1.77%
211,Daleem,2,1.77%
212,Grilled Chicken,2,1.77%
213,Matar,2,1.77%
214,Peshawari Chicken,2,1.77%
215,Pakistani Vegetable,2,1.77%
216,Chicken Macaroni,2,1.77%
217,Beef Namkeen Gosht,2,1.77%
218,Achari Chicken,2,1.77%
219,Barbeque,2,1.77%
220,Achari Baingan,2,1.77%
221,Chicken Nuggets,2,1.77%
222,Fish Rolls,2,1.77%
223,Anda Aur Sabzi,2,1.77%
224,Matka Biryani,2,1.77%
225,BBQ,2,1.77%
226,Chicken Almond,2,1.77%
227,Hyderabadi Chicken,2,1.77%
228,Beef Tikka,2,1.77%
229,Beef Gosht,2,1.77%
230,Karchi Beef Biryani,2,1.77%
231,Aloo,2,1.77%
232,Chicken Vegetables,2,1.77%
233,Peshawari Karahi Gosht,2,1.77%
234,Vegetables in Oven,2,1.77%
235,Dum Pukht Biryani,2,1.77%
236,Karachi Chicken,2,1.77%
237,Chicken Sticks,2,1.77%
238,Tandoori Fish,2,1.77%
239,Shahi Chicken,2,1.77%
240,Asian Lantil Soup,2,1.77%
241,Fish Tikka,2,1.77%
242,Palak Paneer Kofta,2,1.77%
243,Chicken Rolls,2,1.77%
244,Gosht Ke Kabab,2,1.77%
245,Tali Hui Fish,2,1.77%
246,Pakistani Rice,2,1.77%
247,Aloo Ka Pakora,2,1.77%
248,Dal Peshawari,2,1.77%
249,Roll,2,1.77%
250,Pakistani Chicken,2,1.77%
251,Tinda,2,1.77%
252,Chicken Cashew Nut,2,1.77%
253,Chicken Toast,2,1.77%
254,Makhni Handi,2,1.77%
255,Sabzi Gosht,2,1.77%
256,Keema Spaghetti,2,1.77%
257,Baked Meat,2,1.77%
258,Chinese Vegetable Dishes,2,1.77%
259,Fish Kabab,2,1.77%
260,Mutton Champ,2,1.77%
261,Sabzi Dishes,2,1.77%
262,Grill Fish,2,1.77%
263,Dum Pukht Machli,2,1.77%
264,Paneer Pasanda,2,1.77%
265,Chicken Khichdi,2,1.77%
266,Fish and Vegetables,2,1.77%
267,Band Gobhi,2,1.77%
268,Gajar,2,1.77%
269,Chicken Peshawari,2,1.77%
270,Machli Ka Salan,2,1.77%
271,Gobi,2,1.77%
272,Baked Fish,2,1.77%
273,Kabab,2,1.77%
274,Mutton Burra,2,1.77%
275,Fish Karahi,2,1.77%
276,Balochi Rosh,2,1.77%
277,Saag Aur Palak,2,1.77%
278,Makhandi Halwa,2,1.77%
279,Kaddu,2,1.77%
280,Fish Kebab,2,1.77%
281,Fish Cutlets,2,1.77%
282,Kofta in Palak Gravy,2,1.77%
283,Fish with Rice,2,1.77%
284,Dum Pukht Chicken,2,1.77%
285,Fish Korma,2,1.77%
286,Mutton Kaleji,2,1.77%
287,Mutton Burger,2,1.77%
288,Chicken Schezwan Rice,2,1.77%
289,Gosht Rice,2,1.77%
290,Prawns,2,1.77%
291,Roast Fish,2,1.77%
292,Steam Chicken,2,1.77%
293,Tarkay Walay Chawal,2,1.77%
294,Moong Ki Dal,2,1.77%
295,International Chicken,2,1.77%
296,Pakistani Meat,2,1.77%
297,Paneer Makhani,2,1.77%
298,Badami Chicken,2,1.77%
299,Sabziyon Ka Achar,2,1.77%
300,Chicken Gravy,2,1.77%
301,Puri,2,1.77%
302,Afghani Namkeen Gosht,2,1.77%
303,Punjabi Salad,2,1.77%
304,Kashmiri Kofta,2,1.77%
305,Malai Kofta,2,1.77%
306,Peshawari Namkeen Gosht,2,1.77%
307,Gajrela Kheer,2,1.77%
308,Breaded Chicken,2,1.77%
309,Peshawari Karahi Chicken,2,1.77%
310,Biryani and Pulao,2,1.77%
311,Mutton Keema,2,1.77%
312,Chicken Sandwichs,2,1.77%
313,Shinwari Chicken,2,1.77%
314,Beef Raan,2,1.77%
315,Beef Roast,2,1.77%
316,Chicken Chawal,2,1.77%
317,Poori Paratha,2,1.77%
318,White Chicken,2,1.77%
319,Vegetable Soup,2,1.77%
320,Gosht Ke Kofte,2,1.77%
321,Fish Masala,2,1.77%
322,Mutton Roast,2,1.77%
323,Lahori Chana,2,1.77%
324,Mutton Kofta Curry,2,1.77%
325,Moong Ki Dal Palak,2,1.77%
326,Pasanda,2,1.77%
327,Chicken Cutlets,2,1.77%
328,Fried Chicken,2,1.77%
329,Barbecue Chicken,2,1.77%
330,Beef Champ,2,1.77%
331,Persian Biryani,2,1.77%
332,Fish Kofta,2,1.77%
333,Fish Soup,2,1.77%
334,Aloo Baingan Ki Sabzi,2,1.77%
335,Gurda Kapoora,2,1.77%
336,Mushroom Dish,2,1.77%
337,Doodh Patti Chai,2,1.77%
338,Sindhi Lamb Biryani,2,1.77%
339,Mutanjan,2,1.77%
340,Chicken Pilau,2,1.77%
341,Khichdi,2,1.77%
342,Mutton Yakhni Pulao,2,1.77%
343,Aloo Keema,2,1.77%
344,Kaleji,2,1.77%
345,Kahwa,2,1.77%
346,Gola Kabab,2,1.77%
347,Lab-e-Shireen,2,1.77%
348,Patisa,2,1.77%
349,Kalakand,2,1.77%
350,Chicken Tikkas,2,1.77%
351,Gola Ganda,2,1.77%
352,Aloo Chaat,2,1.77%
353,Fish Fry,2,1.77%
354,Aloo Bukhara Chutney,2,1.77%
355,Masoor Ki Daal,2,1.77%
356,Kaali Daal,2,1.77%
357,Gol Gappa,2,1.77%
358,Chicken Mughlai,2,1.77%
359,Russian Salad,2,1.77%
360,Green Salad,2,1.77%
361,Finger Fish,2,1.77%
362,Lahori Chargha,2,1.77%
363,Chicken Tikka Boti,2,1.77%
364,Brain Masala,2,1.77%
365,Kalonji Naan,2,1.77%
366,Mughlai Handi,2,1.77%
367,Mixed Vegetable Curry,2,1.77%
368,Mutton Korma,2,1.77%
369,Tandoori Chicken,2,1.77%
370,Lamb Pulao,2,1.77%
371,Sheermaal,2,1.77%
372,Kabuli Palaw,2,1.77%
373,Mutton Handi,2,1.77%
374,Charsi Tikka,2,1.77%
375,Tika,2,1.77%
376,Diram Pitti,2,1.77%
377,Rasmalai,2,1.77%
378,Nehari,2,1.77%
379,Namkeen Gosht,2,1.77%
380,Malai Kulfi,2,1.77%
381,Halva,2,1.77%
382,Yakhni Pulao,2,1.77%
383,Royal Whole Stuffed Lamb,2,1.77%
384,Pink Kashmiri Chai,2,1.77%
385,Mughlai Beef Qorma,2,1.77%
386,Mughlai Shami Kabab,2,1.77%
387,Seasonal Mixed Vegetable Medley,2,1.77%
388,Rich Lotus Seed Halwa,2,1.77%
389,Mini Kachori,2,1.77%
390,Bottle Gourd Halwa,2,1.77%
391,Chenak-Style Spiced Tea,2,1.77%
392,Fish and Chips,2,1.77%
393,Lebanese Chicken Boti,2,1.77%
394,Chicken Yakhni Pulao,2,1.77%
395,Slow-Cooked Beef Haleem,2,1.77%
396,Crunchy Kulfi Falooda,2,1.77%
397,Spicy Aloo Bhujia,2,1.77%
398,Balochi Sajji Roast,2,1.77%
399,Cottage Cheese in Creamed Spinach,2,1.77%
400,Zesty Ginger Chicken,2,1.77%
401,Creamy Doodh Dulari,2,1.77%
402,Signature Mutton Chops,2,1.77%
403,Frontier-Style Chapli Kabab,2,1.77%
404,Tempered Yellow Lentils,2,1.77%
405,BBQ Fish Tikka,2,1.77%
406,Classic Prawn Sizzlers,2,1.77%
407,Traditional Mutton Karahi,2,1.77%
408,Whole Pomfret Fry,2,1.77%
409,White Chicken Qorma,2,1.77%
410,Prawn Tempura,2,1.77%
411,Spiced Paneer Karahi,2,1.77%
412,Spinach and Potato Curry,2,1.77%
413,Pathan-Style Chai,2,1.77%
414,Aromatic Vegetable Biryani,2,1.77%
415,Mustard Greens with Corn Roti,2,1.77%
416,Royal Mutton Pulao,2,1.77%
417,Spiced Potato Bhujia,2,1.77%
418,Lab-e-Shireen Delight,2,1.77%
419,Handi-Style Creamy Chicken,2,1.77%
420,Cherry Crunch Dessert,2,1.77%
421,Golden Gulab Jamun,2,1.77%
422,Golden Fish Fingers,2,1.77%
423,Mini Samosas,2,1.77%
424,BBQ-Grilled Beef Boti,2,1.77%
425,Creamy Malai Kofta Curry,2,1.77%
426,Chicken Spring Rolls,2,1.77%
427,Signature Chicken Karahi,2,1.77%
428,Royal Rice Kheer,2,1.77%
429,Veggie Spring Rolls,2,1.77%
430,Traditional Delhi-Style Mutton Qorma,2,1.77%
431,Mutton Bombay Biryani Royale,2,1.77%
432,Flaky Chicken Puff Pastries,2,1.77%
433,Creamy Handi Mutton,2,1.77%
434,Stuffed Chicken Kiev,2,1.77%
435,Mughlai Gola Kabab,2,1.77%
436,Chicken Bombay Biryani,2,1.77%
437,Chicken Shawarma Wraps,2,1.77%
438,Cheese-Filled Samosas,2,1.77%
439,Classic Beef Seekh Kabab,2,1.77%
440,Beef Tawa Kabab,2,1.77%
441,Choco-Biscuit Fusion,2,1.77%
442,Green Pea Pulao,2,1.77%
443,Mini Bun Kabab Sliders,2,1.77%
444,Chicken Dynamite Bites,2,1.77%
445,Rustic Mutton Kunna Curry,2,1.77%
446,Falooda Fusion Shake,2,1.77%
447,Sweet Kashmiri Pulao,2,1.77%
448,Chicken Croquettes,2,1.77%
449,Spiced Behari Strip Kabab,2,1.77%
450,Pumpkin Halwa,2,1.77%
451,Basmati Rice,2,1.77%
452,Daal Makhani,2,1.77%
453,Yakhni,2,1.77%
454,Murgh Tikka,2,1.77%
455,Gosht Karahi,2,1.77%
456,Siri-Payay,2,1.77%
457,Bannu Pulao,2,1.77%
458,Maakai Ki Roti,2,1.77%
459,Khatchauri,2,1.77%
460,Bong,2,1.77%
461,Mango Lassi,2,1.77%
462,Vegetable Biryani,2,1.77%
463,Daal Maash,2,1.77%
464,Mutton Chops,2,1.77%
465,Sarso Ka Saag,2,1.77%
466,Murgh Cholay,2,1.77%
467,Kunna Gosht,2,1.77%
468,Rogan Josh,2,1.77%
469,Bakarkhani,2,1.77%
470,Baingan Ka Bharta,2,1.77%
471,Papar,2,1.77%
472,Tikka Boti,2,1.77%
473,Beef Kabab,2,1.77%
474,Sohbat,2,1.77%
475,Mumtu,2,1.77%
476,Thukpa,2,1.77%
477,Daal Pakwan,2,1.77%
478,Mutton Rosh,2,1.77%
479,Murgh Pulao,2,1.77%
480,Tandoori Paratha,2,1.77%
481,Aloo Paratha,2,1.77%
482,Taka Tak,2,1.77%
483,Beef Seekh Kabab,2,1.77%
484,Aloo Gosht,1,0.88%
485,Chana Pulao,1,0.88%
486,Mithai,1,0.88%
487,Chicken Kebab,1,0.88%
488,Balochi Sajji,1,0.88%
489,Bhari Hui Mirchon ka Saalan,1,0.88%
490,Zeera Aloo,1,0.88%
491,Dal Chana,1,0.88%
492,Chinese Soup,1,0.88%
493,Khattay Aloo,1,0.88%
494,Spaghetti,1,0.88%
495,Kids Soup,1,0.88%
496,Stuffed Bhindi,1,0.88%
497,Keema Karela,1,0.88%
498,KFC Fried Chicken,1,0.88%
499,Dry Aloo Recipe,1,0.88%
500,Shalgam Recipe,1,0.88%
501,Beef Salad,1,0.88%
502,Chicken Salad,1,0.88%
503,Khatta Meetha Baingan Ka Bharta,1,0.88%
504,Palak Kofta,1,0.88%
505,Stuffed Baingan,1,0.88%
506,Palak Saag,1,0.88%
507,Aloo Gobi Dry,1,0.88%
508,Manchurian,1,0.88%
509,Aloo Matar Keema,1,0.88%
510,Puff,1,0.88%
511,Paneer Matar Masala,1,0.88%
512,Rolls,1,0.88%
513,Bhindi Recipe,1,0.88%
514,Shashlik,1,0.88%
515,Namak Paray,1,0.88%
516,Shimla Mirch Recipe,1,0.88%
517,Pie,1,0.88%
518,Bhindi Do Pyaza,1,0.88%
519,Baingan Ka Bhurta,1,0.88%
520,Sandwich,1,0.88%
521,Aloo Gobi Masala,1,0.88%
522,Aalo Pyaaz Timatar Ki Sabzi,1,0.88%
523,Aloo Ki Kachoriyan,1,0.88%
524,Jeera Aloo,1,0.88%
525,Shimla Mirch Gravy,1,0.88%
526,Cutlets,1,0.88%
527,Bhindi Recipes With Gravy,1,0.88%
528,Saag Recipe,1,0.88%
529,Palaak Aur Cheez Ke Koftay,1,0.88%
530,Quick Sarson Ka Saag,1,0.88%
531,Punjabi Dry Aloo Sabzi,1,0.88%
532,Lauki Curry,1,0.88%
533,Keema Bhari Shimla Mirch,1,0.88%
534,Hot and Sour Soup,1,0.88%
535,Keema Stuffed Capsicum,1,0.88%
536,Shimla Mirch Keema,1,0.88%
537,Aloo Masala Curry,1,0.88%
538,Macaroni,1,0.88%
539,Aloo Jeera,1,0.88%
540,Burgers,1,0.88%
541,Aloo Masala Gravy,1,0.88%
542,Beef Soup,1,0.88%
543,Keema Aloo,1,0.88%
544,Aloo Gravy,1,0.88%
545,Mughlai Aloo Matar,1,0.88%
546,Bhari Hoi Bhindiya,1,0.88%
547,Spicy Ladyfingers,1,0.88%
548,Seafood Salad,1,0.88%
549,Anday Aloo Ka Salan,1,0.88%
550,Lauki Ki Sabzi,1,0.88%
551,Aloo Ke Salad,1,0.88%
552,Palak Curry,1,0.88%
553,Shawarma,1,0.88%
554,Vegetable Stew,1,0.88%
555,Sabzi Mix,1,0.88%
556,Brinjal Gravy,1,0.88%
557,Aloo Masala,1,0.88%
558,Sabziyon K Chapli Kabab,1,0.88%
559,Aloo Matar Paneer,1,0.88%
560,Palak Daal,1,0.88%
561,Lauki Bahar,1,0.88%
562,Aloo Gobi Fry,1,0.88%
563,Palak Cauliflower Chicken,1,0.88%
564,Pasta,1,0.88%
565,Aloo Masala for Dosa,1,0.88%
566,Corn Soup,1,0.88%
567,Gehya Recipe,1,0.88%
568,Aloo Gobi Matar,1,0.88%
569,Sabzion Ki Karahi,1,0.88%
570,Mooli Ki Bhujia,1,0.88%
571,Mutton Soup,1,0.88%
572,Drum Sticks,1,0.88%
573,Brinjal Fry,1,0.88%
574,Aloo Matar Gobi,1,0.88%
575,Bombay Mix Chicken Sabzi,1,0.88%
576,Kabab Karahi,1,0.88%
577,Dam Pukh Bakra,1,0.88%
578,Namkeen Mutten Karahi,1,0.88%
579,Chicken Karahi Red,1,0.88%
580,Lahori Karahi,1,0.88%
581,Potato Curry,1,0.88%
582,Aloo Shimla Mirch,1,0.88%
583,Achari Aloo,1,0.88%
584,Aloo Chana Masala,1,0.88%
585,Bhindi Ki Sabzi,1,0.88%
586,Chana Palak,1,0.88%
587,Soya Aloo,1,0.88%
588,Kala Chana,1,0.88%
589,Chholay Palak,1,0.88%
590,Achari Bhindi,1,0.88%
591,Kalay Chanay,1,0.88%
592,Poori Aloo,1,0.88%
593,Sabzi Raita,1,0.88%
594,Aalu Shorba,1,0.88%
595,Aloo Gajar,1,0.88%
596,Handi,1,0.88%
597,Goat Haleem,1,0.88%
598,Chicken Makhani,1,0.88%
599,Samosa Chat,1,0.88%
600,Multani Sohan Halwa,1,0.88%
601,Karachi Haleem,1,0.88%
602,Nan Khatai,1,0.88%
603,Khushab Dhoda,1,0.88%
604,Kacha Golla,1,0.88%
605,Joqes,1,0.88%
606,Gittey,1,0.88%
607,Mamtu,1,0.88%
608,Peshawari Kebab,1,0.88%
609,Shabdeg,1,0.88%
610,Seviyaan,1,0.88%
611,Chicken Fingers,1,0.88%
612,Bali Soup,1,0.88%
613,Murgh Balti,1,0.88%
614,Vegetable Samosa,1,0.88%
615,Jhinga Masala,1,0.88%
616,Bakray Ki Champ,1,0.88%
617,Machhli Ka Salan,1,0.88%
618,Murgh Musallum,1,0.88%
619,Chicken Chapli Kabab,1,0.88%
620,Mulligatawny,1,0.88%
621,Murgh Malai Kabab,1,0.88%
622,Zafrani Malai Boti,1,0.88%
623,Jhinga Til Tinka,1,0.88%
624,Paneer Pakora,1,0.88%
625,The Pakistani Platter,1,0.88%
626,Tawa Fry Machhli,1,0.88%
627,Murgh Masala Yakhni,1,0.88%
628,Paneer Tikka,1,0.88%
629,Chicken Ginger Masala,1,0.88%
630,Chicken Behari Kabab,1,0.88%
631,Machhli Tikka,1,0.88%
632,BBQ Boti,1,0.88%
633,Tawa Hara Piyaz Qeema,1,0.88%
634,Chicken Khopra Soup,1,0.88%
635,Jhinga Seekh,1,0.88%
636,Kadin Kebab,1,0.88%
637,Roast Mutton,1,0.88%
638,Chicken Paratha Rolls,1,0.88%
639,Rosh,1,0.88%
640,Landhi,1,0.88%
641,Anda Shami Burgers,1,0.88%
642,Achar,1,0.88%
643,Chola Chaat,1,0.88%
644,Chicken Reshmi Handi,1,0.88%
645,Singaporean Rice,1,0.88%
646,Sabzi,1,0.88%
647,Khowsuey,1,0.88%
648,Chutney,1,0.88%
649,Bhuna Salan,1,0.88%
650,Chinese Gosht,1,0.88%
651,Gajrela With Khoya,1,0.88%
652,Murgh Lahori,1,0.88%
653,BBQ Fish,1,0.88%
654,Punjabi Biryani,1,0.88%
655,Punjabi Breakfast,1,0.88%
656,Jheenga And Prawns,1,0.88%
657,Meethe Chawal,1,0.88%
658,Fried Gosht Recipes,1,0.88%
659,Paneer Lahori,1,0.88%
660,Chinese Food,1,0.88%
661,Chinese Beef,1,0.88%
662,Chana,1,0.88%
663,Daal Chana,1,0.88%
664,Beef Nihari,1,0.88%
665,Beef Korma,1,0.88%
666,Beef Chili Dry,1,0.88%
667,BBQ Beef Bites,1,0.88%
668,Balushahi,1,0.88%
669,Boondi,1,0.88%
670,Gulabjamun,1,0.88%
671,Chopshoro,1,0.88%
672,Chopshuro,1,0.88%
673,Garma,1,0.88%
674,Hoi Lo Garma,1,0.88%
675,Kachumber Salad,1,0.88%
676,Pilau,1,0.88%
677,Yakhni Pilau,1,0.88%
678,Peas Pilau,1,0.88%
679,Prawn Pilau Biryani,1,0.88%
680,Green Tea,1,0.88%
681,Mutton Chanay,1,0.88%
682,Pakistani BBQ,1,0.88%
683,Mutton and Beef BBQ,1,0.88%
684,Kashmiri Harisa,1,0.88%
685,Pasandon Ka Korma,1,0.88%
686,Punjabi Malai Kofta,1,0.88%
687,Fried Gosht,1,0.88%
688,Koftay Aur Maash Ki Daal,1,0.88%
689,Handi Pasanday,1,0.88%
690,Dosa,1,0.88%
691,Paneer Lahore,1,0.88%
692,Chicken Palak Paneer,1,0.88%
693,Murgh Dal Chana Curry,1,0.88%
694,Lal Qila Haleem,1,0.88%
695,Peshawari Chana Masala,1,0.88%
696,Daal Murgh,1,0.88%
697,Pakistani Chicken Biryani,1,0.88%
698,Hara Masala Anday Cholay,1,0.88%
699,Kari,1,0.88%
700,White Pasanda Karahi,1,0.88%
701,Tea,1,0.88%
702,Pakistani Keema,1,0.88%
703,Hyderabadi Meethi Dal,1,0.88%
704,Chatpati Haleem,1,0.88%
705,Kaju Pasande,1,0.88%
706,Gola Kabab Karahi,1,0.88%
707,Peshawari Tikka,1,0.88%
708,Different Chicken,1,0.88%
709,Murgh Lahore,1,0.88%
710,Fish BBQ,1,0.88%
711,Mutton and Beef,1,0.88%
712,Dal Gosht Gravy,1,0.88%
713,Egg,1,0.88%
714,Chole Samose,1,0.88%
715,Avocado in Pakistan Taste,1,0.88%
716,Sabzi Kabab,1,0.88%
717,Sarsong Ka Saag,1,0.88%
718,Badami Pasanda,1,0.88%
719,Kaleji Maghaz Fry,1,0.88%
720,Peshawari Chapli Kabab,1,0.88%
721,Dal Anday Wala Bun Kabab,1,0.88%
722,Khasta Kachori,1,0.88%
723,Shahi Chicken Korma,1,0.88%
724,Lahori Mutton Karahi,1,0.88%
725,Kachori,1,0.88%
726,Nankhatai,1,0.88%
727,Fry Keema,1,0.88%
728,Kacha Keema Kabab,1,0.88%
729,Tawa Gola Kabab,1,0.88%
730,Pyaz Ke Pakoray,1,0.88%
731,Keema Naan,1,0.88%
732,Eid Wali Kachori,1,0.88%
733,Laccha Pakora,1,0.88%
734,Tikkas,1,0.88%
735,Kulfa,1,0.88%
736,Karachi Halwa,1,0.88%
737,Sohan Papdi,1,0.88%
738,Shahi Tukra,1,0.88%
739,Shikanjabeen,1,0.88%
740,Shikanjvi,1,0.88%
741,Chicken Boti,1,0.88%
742,Anda Paratha,1,0.88%
743,Paya Curry,1,0.88%
744,Paratha Rolls,1,0.88%
745,Kebab Paratha,1,0.88%
746,Tandoori Naan,1,0.88%
747,Pakistani Style Kali Dal,1,0.88%
748,Mooli,1,0.88%
749,Chali,1,0.88%
750,Paan,1,0.88%
751,Chicken Dahi,1,0.88%
752,Kashmoor Salad,1,0.88%
753,Mix Platter B.B.Q-2,1,0.88%
754,Dal Mix Fry,1,0.88%
755,Pakistani Trotters Curry,1,0.88%
756,Mutton Shanwari,1,0.88%
757,Kadi Pakora,1,0.88%
758,Anda Kofta,1,0.88%
759,Pakistani Kalmi Tikka,1,0.88%
760,Pakistani Mix Grill,1,0.88%
761,Chicken Shanwari,1,0.88%
762,Chicken Shahi,1,0.88%
763,Aaloo Palak,1,0.88%
764,Mutton Boti,1,0.88%
