,food_name,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,calcium_mg,iron_mg,energy_kj,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug
,Sarson ka saag,87.84,5.33,3.00,5.86,0.75,3.69,134.41,2.43,364.17,3303.10,1432.99,570.51,13.24,61.91,55.11,165.45,399.56,0.20,5.07,0.03,0.67,0.02,0.65,50.77,0.86,4.37,0.00,176.60,0.00,90.78,0.09,0.16,0.57,0.26,0.16,2.01,90.78,42.12,5512.58
,Jackfruit sabzi (Kathal ki sabzi),625.40,3.40,0.69,67.60,2.59,1.02,9.85,0.27,2572.48,8126.67,13872.31,42800.21,0.00,8.83,8.88,58.95,80.75,0.05,0.03,0.00,0.12,0.01,0.08,0.00,33.29,2.18,0.00,13.52,0.00,8.90,0.02,0.01,0.15,0.07,0.06,0.95,8.90,3.91,479.51
,Avial,124.56,8.47,2.46,8.94,3.83,5.44,31.90,1.01,520.92,6227.57,550.74,219.96,0.00,60.03,36.40,81.50,378.30,0.21,3.90,0.01,0.40,0.05,0.40,0.00,1.04,2.23,0.00,89.50,0.00,32.27,0.05,0.04,0.55,0.29,0.17,2.70,32.27,28.25,1270.84
,Al yakhani,147.54,4.65,2.86,13.14,3.56,1.27,103.88,0.46,610.80,2256.26,2791.78,7477.29,4.74,84.26,18.73,206.24,198.35,0.04,1.71,0.00,0.46,0.02,0.42,12.07,5.77,0.69,0.00,3.07,0.00,26.19,0.05,0.12,0.20,0.46,0.06,2.25,26.19,2.33,57.56
,Shahi paneer,156.50,6.64,5.06,12.34,5.01,1.40,125.38,0.62,649.74,7253.38,3336.88,668.64,23.70,97.37,18.29,215.35,170.60,0.07,4.74,0.02,0.24,0.02,0.76,92.19,0.66,4.90,0.00,13.53,0.00,30.30,0.04,0.07,0.45,0.28,0.09,5.26,30.30,11.89,2763.73
,Paneer in butter sauce,145.61,9.70,6.99,8.81,7.49,1.50,170.59,0.85,607.50,5258.02,2378.26,392.42,9.90,126.58,23.01,151.45,158.34,0.09,7.45,0.04,0.41,0.02,1.06,45.94,0.20,4.28,0.00,12.88,0.00,41.32,0.04,0.06,0.36,0.31,0.08,7.71,41.32,11.49,2146.72
,Methi malai paneer,194.98,8.15,7.34,14.76,6.00,1.47,183.96,0.77,810.16,5462.57,3671.44,4730.85,7.11,135.40,22.08,221.16,125.72,0.09,6.59,0.03,0.45,0.04,1.06,37.62,3.61,1.77,0.00,17.20,0.00,38.20,0.06,0.09,0.28,0.39,0.07,7.23,38.20,7.03,602.57
,Chilli paneer,777.51,3.31,2.10,84.01,1.50,0.50,42.90,0.36,3199.66,10750.48,17529.38,52208.83,0.34,38.62,8.81,89.04,54.25,0.05,2.31,0.01,0.06,0.01,0.32,0.88,40.54,0.42,0.00,8.62,0.00,9.67,0.02,0.02,0.18,0.08,0.02,1.87,9.67,1.64,1217.75
,Paneer makhana korma,775.82,4.63,3.24,82.76,1.84,0.21,72.89,0.55,3194.04,11231.25,17613.41,50403.82,1.58,81.40,20.51,77.01,95.39,0.09,3.76,0.01,0.16,0.03,0.50,6.77,38.98,0.21,0.00,6.30,0.00,15.53,0.05,0.02,0.13,0.13,0.04,2.53,15.53,0.11,89.58
,Kadhai Paneer,107.99,7.34,4.33,6.81,5.54,2.07,91.53,0.65,449.91,1950.52,1574.98,2863.85,0.00,80.68,22.40,144.33,290.81,0.12,3.87,0.02,0.23,0.01,0.66,0.00,2.84,4.08,0.00,12.01,0.00,36.81,0.16,0.05,0.80,0.25,0.12,5.52,36.81,26.98,2379.68
,Roghan josh,139.59,4.93,9.56,9.02,2.66,2.08,112.33,1.77,582.69,622.68,707.05,1802.96,1.40,106.87,21.00,204.31,294.04,0.08,0.78,0.01,0.71,0.11,0.30,3.56,1.35,2.76,0.00,13.33,0.00,15.40,0.11,0.12,3.22,0.19,0.07,1.18,15.40,5.26,2383.17
,Spinach mutton (Palak mutton),80.32,3.45,5.74,4.71,1.42,2.23,96.88,2.38,335.43,396.51,365.38,1027.28,0.68,68.66,54.93,121.10,464.28,0.12,1.45,0.02,0.92,0.05,0.38,1.73,1.32,1.47,0.00,173.65,0.00,80.52,0.14,0.11,1.73,0.20,0.11,2.70,80.52,18.13,6071.28
,Pea keema curry (Matar keema ki sabzi),133.00,6.24,8.43,8.14,1.82,2.96,35.60,1.35,553.15,2401.20,2411.70,2748.27,22.87,89.75,27.29,148.38,252.63,0.12,1.24,0.00,0.54,0.03,1.48,2.68,2.10,5.88,0.00,19.99,0.00,24.76,0.13,0.08,1.95,0.57,0.16,2.48,24.76,16.18,1356.01
,Keema kofta curry,154.45,5.64,9.77,10.39,2.14,1.51,49.89,1.25,643.38,3273.04,3229.65,2994.87,57.79,118.72,22.07,311.51,251.56,0.08,4.44,0.00,0.41,0.04,1.65,19.41,2.27,2.28,0.06,8.13,1.10,15.98,0.08,0.12,2.11,0.60,0.15,3.04,15.98,5.87,1054.57
,Kashmiri mutton koftas (Gushtaba),97.42,3.04,6.33,6.77,2.13,0.62,52.53,0.85,405.60,2896.49,2194.37,1102.68,25.31,86.43,15.88,130.11,171.55,0.05,0.95,0.00,0.40,0.02,1.14,18.05,0.79,0.32,0.00,1.14,0.00,7.39,0.05,0.10,1.41,0.36,0.09,1.32,7.39,1.06,49.88
,Mutton yakhni,104.13,0.84,8.27,7.70,0.13,0.67,88.61,1.66,434.62,239.48,472.15,1137.71,0.00,72.01,8.54,101.02,154.30,0.02,0.12,0.00,0.71,0.02,0.10,0.00,0.86,0.44,0.00,1.41,0.00,2.81,0.09,0.07,3.07,0.01,0.01,0.04,2.81,0.04,19.19
,Chicken yakhni,99.00,0.78,10.66,6.10,0.12,0.62,28.24,0.93,413.28,608.83,906.32,1222.13,29.29,91.52,17.47,97.38,175.38,0.15,8.94,0.00,0.67,0.02,0.47,3.31,0.93,0.40,0.66,1.30,13.23,5.25,0.06,0.03,3.96,0.56,0.26,1.99,5.25,0.04,14.10
,Mutton do piaza,183.30,4.14,9.39,14.41,2.90,1.93,118.61,1.63,762.28,5648.94,2965.96,673.42,77.86,120.41,18.38,118.62,240.92,0.07,6.76,0.00,0.52,0.02,0.50,110.97,0.75,0.48,0.13,4.79,2.22,20.46,0.09,0.13,2.28,0.41,0.08,3.93,20.46,2.25,357.27
,Mutton chops,663.64,1.48,4.03,71.31,0.42,0.17,36.18,0.64,2732.12,8390.57,14216.69,43506.75,13.32,39.65,2.32,51.03,70.56,0.02,1.67,0.00,0.04,0.00,0.09,7.68,33.85,0.04,0.03,4.62,0.52,4.77,0.04,0.04,1.23,0.08,0.02,0.77,4.77,1.07,23.11
,Scotch egg,676.89,1.91,4.05,72.62,0.30,0.36,15.03,0.60,2786.45,9440.14,15346.36,44593.11,48.59,48.31,6.80,90.67,72.34,0.04,4.86,0.00,0.13,0.01,0.57,22.43,34.71,0.13,0.09,6.03,1.60,8.94,0.03,0.05,0.62,0.29,0.05,2.39,8.94,0.76,82.20
,Shepherd's pie (with minced meat),142.78,8.06,7.45,8.88,1.70,1.05,21.30,0.84,593.85,4273.49,2828.23,1052.16,33.31,92.81,20.37,197.25,357.88,0.08,1.08,0.00,0.10,0.01,1.35,36.13,0.70,0.19,0.00,1.89,0.00,11.21,0.09,0.08,2.10,0.52,0.12,1.70,11.21,10.31,139.26
,Tandoori chicken,145.20,2.34,16.26,7.93,1.58,0.50,44.33,0.90,607.17,990.24,1050.46,1025.32,44.25,154.07,22.02,158.00,287.21,0.21,13.24,0.00,0.17,0.02,0.71,8.72,0.77,0.20,0.96,1.57,19.29,12.68,0.09,0.09,5.70,0.91,0.41,3.42,12.68,2.74,69.37
,Butter chicken,137.00,3.74,10.92,8.70,2.37,1.32,25.28,0.92,571.18,3047.65,1620.51,424.98,39.26,102.52,23.27,26.21,319.53,0.20,8.61,0.00,0.27,0.01,0.51,48.98,0.82,3.58,0.63,9.53,12.63,14.84,0.14,0.05,4.13,0.62,0.30,2.99,14.84,11.86,1884.16
,Chicken kebab,729.41,1.11,3.71,78.89,0.24,0.21,3.46,0.28,3001.14,9436.36,16046.74,49118.18,9.94,31.71,5.24,69.76,62.67,0.06,3.02,0.00,0.08,0.01,0.15,1.12,38.19,0.16,0.22,5.52,4.49,3.09,0.02,0.01,1.33,0.21,0.09,0.78,3.09,0.33,11.32
,Chilli chicken,198.83,2.86,9.57,16.56,0.93,0.99,12.97,0.66,823.97,1902.34,3048.34,8403.86,23.87,84.35,16.48,223.75,207.30,0.14,8.20,0.00,0.17,0.01,0.39,2.70,6.50,1.53,0.58,6.13,10.78,13.33,0.05,0.04,3.34,0.61,0.25,2.98,13.33,14.27,312.17
,Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),125.03,2.51,11.48,7.61,1.16,1.13,16.09,0.64,521.48,881.22,1099.94,1993.20,31.09,101.91,17.77,107.56,242.34,0.17,9.42,0.00,0.09,0.01,0.49,3.52,1.59,3.79,0.70,11.02,14.04,14.07,0.07,0.04,4.27,0.68,0.31,2.69,14.07,8.71,2774.02
,Fish curry (Machli curry),111.13,3.77,8.76,6.69,2.02,1.89,52.06,1.09,461.62,1587.29,2191.97,3792.81,19.22,101.87,24.11,184.71,241.98,0.08,20.64,0.01,0.70,0.08,0.53,2.63,3.64,3.00,0.33,8.35,0.41,15.93,0.03,0.04,1.16,0.61,0.15,0.90,15.93,8.85,1231.96
,Fried fish and Chips (English Style) (Tali hui machli aur chips),651.75,2.77,3.36,69.69,0.17,0.29,6.56,0.26,2682.09,8701.07,14320.40,43724.44,12.51,40.20,8.05,72.73,90.72,0.03,5.08,0.00,0.04,0.01,0.15,7.89,34.08,0.47,0.10,5.39,0.40,4.54,0.02,0.01,0.33,0.23,0.04,0.47,4.54,3.18,202.62
,Tomato fish,489.79,3.18,2.39,51.91,1.35,0.72,6.46,0.24,2015.88,6631.00,10659.68,32431.61,5.17,31.48,9.64,91.47,115.54,0.04,3.11,0.00,0.07,0.00,0.13,7.09,25.29,2.56,0.06,9.56,0.10,7.94,0.02,0.01,0.35,0.21,0.05,0.55,7.94,7.76,1270.90
,Baked fish with cheese sauce,113.96,4.06,8.64,7.02,3.22,0.08,115.64,0.26,475.32,4187.38,1786.80,454.57,21.37,170.77,16.84,209.48,158.51,0.04,9.25,0.01,0.03,0.01,0.54,43.90,0.55,0.11,0.17,0.49,0.28,8.30,0.04,0.09,0.46,0.56,0.07,1.53,8.30,2.82,136.30
,Fish tikka,117.33,3.91,16.00,4.15,1.18,1.18,31.98,1.41,489.08,807.20,800.24,2221.32,32.73,178.14,35.50,503.44,296.43,0.13,45.21,0.01,0.23,0.02,0.63,11.51,1.91,0.45,0.15,2.74,3.70,13.02,0.07,0.09,2.06,1.08,0.14,4.63,13.02,2.54,160.26
,Tandoori fish,95.98,2.37,11.19,4.64,1.60,0.58,37.27,0.46,400.97,1838.98,952.48,1468.22,23.41,138.54,24.80,123.94,226.36,0.05,16.08,0.01,0.14,0.01,0.43,19.21,1.43,1.41,0.33,3.59,0.53,11.79,0.05,0.05,0.88,0.71,0.11,0.56,11.79,8.42,658.16
,"Paneer, apple and pineapple salad",95.08,8.35,3.88,5.07,6.36,1.65,103.05,0.84,397.42,2554.73,1275.31,895.37,6.52,86.94,22.73,176.63,185.05,0.09,4.11,0.02,0.32,0.34,0.61,31.24,0.22,1.68,0.00,21.05,0.00,26.04,0.04,0.09,0.20,0.26,0.09,4.20,26.04,9.81,2073.10
,Russian salad,114.83,6.50,4.26,7.84,1.66,2.57,34.92,1.23,476.71,1490.31,4045.25,1726.66,64.49,64.31,24.52,101.09,254.54,0.10,7.64,0.01,0.32,0.01,0.57,50.62,1.94,2.36,0.13,24.01,2.31,32.96,0.08,0.08,0.50,0.50,0.15,4.93,32.96,15.66,2270.96
,Pasta salad,190.36,12.70,4.15,13.92,2.60,0.96,66.74,0.81,792.54,2680.76,7319.93,3098.98,12.70,74.81,20.16,152.31,162.16,0.08,5.45,0.02,0.19,0.01,0.57,33.49,3.32,1.91,0.00,16.94,0.00,26.21,0.05,0.06,0.71,0.32,0.09,3.69,26.21,17.98,2034.82
,Deviled egg,98.56,2.23,4.97,7.72,0.82,1.15,36.84,1.51,409.48,1331.70,3958.76,1711.92,118.13,76.96,21.30,117.29,185.41,0.08,14.37,0.01,0.17,0.02,0.59,66.85,1.93,3.82,0.26,35.48,4.57,30.29,0.05,0.10,0.25,0.56,0.11,6.77,30.29,11.53,4136.37
,Hawain salad,175.23,14.35,4.27,11.37,5.24,3.93,61.03,1.12,733.88,6350.95,2596.90,469.20,4.24,72.06,27.74,64.92,204.64,0.16,3.83,0.01,0.52,0.01,0.65,22.41,0.72,1.97,0.00,25.04,0.00,31.73,0.08,0.06,0.55,0.31,0.12,3.21,31.73,13.28,2220.59
,Mixed pulse and vegetable salad,83.12,13.96,4.74,0.84,1.36,2.96,51.63,2.13,349.23,137.12,120.56,442.36,0.00,93.24,49.99,127.78,442.65,0.23,4.05,0.01,0.52,0.06,0.78,0.00,0.31,2.77,0.00,32.48,0.00,62.14,0.10,0.07,0.72,0.51,0.13,1.61,62.14,14.02,2388.85
,Sprouted moong salad ,37.81,5.48,2.29,0.74,2.13,0.95,54.56,1.45,158.65,354.69,160.55,165.36,1.62,55.09,22.92,116.38,254.18,0.06,1.73,0.01,0.18,0.02,0.39,4.12,0.05,1.82,0.00,25.53,0.00,24.42,0.06,0.08,0.42,0.24,0.09,1.25,24.42,13.67,2753.77
,Tossed salad,62.96,4.95,1.02,4.22,1.56,2.15,32.37,0.86,261.03,630.66,2940.80,449.89,0.00,29.21,17.76,77.50,232.98,0.06,0.96,0.01,0.16,0.01,0.23,0.00,0.25,1.07,0.00,29.23,0.00,29.23,0.04,0.03,0.31,0.15,0.09,2.10,29.23,25.13,2432.12
,Mixed vegetable salad with curd sauce,60.28,7.03,4.23,1.50,2.16,3.79,65.51,1.35,252.12,880.42,364.96,160.55,4.09,67.79,32.94,116.66,267.24,0.13,1.91,0.01,0.31,0.03,0.67,17.41,0.15,5.01,0.00,36.95,0.00,40.08,0.13,0.09,0.66,0.42,0.18,3.32,40.08,17.52,3408.86
,Potato salad (Aloo ka salaad),89.91,11.19,1.40,4.40,3.94,1.32,25.61,0.99,374.93,572.78,1642.09,1890.56,0.00,38.47,21.31,125.01,347.45,0.08,1.17,0.01,0.17,0.01,0.30,0.00,1.16,0.26,0.00,20.38,0.00,22.34,0.05,0.03,0.61,0.24,0.09,1.56,22.34,24.91,1542.14
,Waldroff salad,141.75,11.02,1.47,10.05,8.23,1.87,29.29,1.07,588.94,2201.58,3984.38,3304.80,9.87,37.10,19.23,13.42,192.86,0.12,1.19,0.01,0.25,0.36,0.30,29.03,1.67,2.70,0.00,14.23,0.00,16.48,0.05,0.04,0.27,0.14,0.09,1.07,16.48,8.69,953.58
,Coleslaw,76.71,5.59,1.24,5.32,3.62,2.34,37.00,0.63,318.36,1160.77,2611.75,1217.26,6.42,32.26,13.13,29.87,207.70,0.05,0.36,0.00,0.16,0.56,0.22,22.92,1.22,0.74,0.00,28.90,0.00,27.53,0.04,0.04,0.25,0.20,0.10,1.11,27.53,15.07,3281.21
,Fruit salad (Phalon ka salaad),78.14,15.96,0.91,1.22,9.78,1.58,25.93,0.81,328.70,684.54,271.85,165.14,2.71,23.11,17.56,7.11,178.27,0.07,1.19,0.01,0.27,0.28,0.18,14.36,0.12,1.11,0.00,19.71,0.00,14.93,0.04,0.04,0.19,0.14,0.11,1.41,14.93,17.25,1660.97
,Tomato onion raita (Tamatar aur pyaaz ka raita),59.00,7.08,3.74,1.84,5.98,0.97,120.62,0.26,248.26,1103.28,475.87,125.38,6.19,106.97,18.22,165.21,237.73,0.04,1.20,0.00,0.08,0.01,0.50,15.76,0.09,2.85,0.00,6.85,0.00,19.57,0.05,0.16,0.32,0.38,0.10,2.23,19.57,8.47,1379.49
,Peanut raita (Mungfali ka raita),150.39,9.30,8.59,8.98,7.11,1.89,174.60,0.74,631.24,2892.84,3657.71,2000.90,8.97,204.42,49.52,235.83,351.78,0.16,2.19,0.00,0.28,0.10,1.11,22.83,0.75,1.22,0.00,1.18,0.00,29.90,0.14,0.24,2.06,0.58,0.13,2.39,29.90,2.11,86.34
,Sprouted moong raita ,60.89,6.13,4.62,2.19,5.59,0.16,139.44,0.86,256.20,1290.27,569.54,155.70,7.21,125.15,18.57,189.20,208.77,0.01,1.32,0.00,0.05,0.01,0.57,18.34,0.04,0.05,0.00,0.62,0.00,17.68,0.07,0.20,0.26,0.41,0.10,1.71,17.68,2.35,73.59
,Bottle gourd raita (Ghiya/Lauki ka raita),56.31,5.76,3.98,2.07,5.25,0.85,138.26,0.23,237.21,1271.09,537.94,111.47,7.21,118.27,17.56,188.37,234.32,0.02,1.90,0.00,0.06,0.01,0.52,18.34,0.04,0.30,0.00,1.31,0.00,25.87,0.05,0.18,0.21,0.52,0.08,2.55,25.87,3.12,89.68
,Cucumber raita (Kheere ka raita),59.13,6.35,4.04,2.08,5.22,0.86,138.58,0.29,249.00,1278.53,540.25,112.44,7.21,122.31,20.66,189.96,253.64,0.02,1.37,0.00,0.04,0.01,0.53,18.34,0.04,0.47,0.00,3.31,0.00,17.63,0.05,0.18,0.28,0.48,0.09,2.64,17.63,3.70,114.53
,Carrot and spinach raita (Gajar aur palak ka raita),56.83,5.83,4.00,1.99,4.93,1.39,142.57,1.04,239.15,1144.41,476.26,197.95,6.19,112.35,38.85,180.79,380.75,0.06,1.75,0.01,0.36,0.02,0.57,15.76,0.43,0.31,0.00,94.58,0.00,53.76,0.09,0.19,0.27,0.39,0.12,2.85,53.76,10.86,4058.14
,Mint raita (Pudinay ka raita),77.59,7.65,5.64,2.96,7.48,0.34,198.22,0.37,326.97,1836.58,783.20,138.29,10.51,166.11,22.50,274.38,292.83,0.01,2.13,0.00,0.04,0.04,0.71,26.75,0.06,0.14,0.00,4.04,0.00,19.70,0.06,0.27,0.25,0.49,0.11,2.54,19.70,2.81,442.55
,Potato raita (Aloo ka raita),75.38,10.24,4.22,2.04,5.08,0.75,132.31,0.34,316.95,1232.83,524.58,132.34,6.98,124.59,21.94,183.37,376.28,0.04,1.54,0.00,0.06,0.01,0.56,17.76,0.06,0.12,0.00,1.34,0.00,17.14,0.06,0.18,0.52,0.45,0.11,2.13,17.14,9.72,129.23
,Boondi raita,687.72,3.96,2.19,73.83,1.88,0.46,49.00,0.24,2831.04,9220.10,15189.89,46338.53,2.51,47.88,7.40,99.18,79.71,0.02,0.61,0.00,0.07,0.00,0.23,6.39,36.03,0.01,0.00,5.21,0.00,11.50,0.03,0.07,0.14,0.16,0.04,0.91,11.50,0.24,33.47
,Sweet raita (Meetha raita),99.24,17.93,3.24,1.78,15.36,1.02,108.91,0.21,418.63,1052.08,427.02,146.15,5.73,94.58,16.72,42.98,233.29,0.03,1.16,0.00,0.07,0.44,0.42,14.58,0.08,0.41,0.00,1.29,0.00,12.97,0.04,0.15,0.24,0.34,0.14,1.68,12.97,2.71,111.20
,Dahi vadas/Dahi bhalla,667.73,5.49,2.96,70.40,1.78,0.97,49.03,0.49,2748.73,8800.36,14475.98,44186.95,2.39,65.23,17.84,79.00,152.37,0.06,2.18,0.00,0.14,0.01,0.38,6.10,34.32,0.66,0.00,6.15,0.00,10.63,0.03,0.07,0.19,0.33,0.04,0.65,10.63,0.33,80.60
,Gunjia,667.34,5.68,2.98,70.28,2.05,1.13,48.16,0.50,2747.77,9274.23,14321.06,43565.33,2.36,65.47,17.83,77.90,154.16,0.06,2.15,0.00,0.13,0.01,0.38,6.01,33.88,0.62,0.00,5.60,0.00,10.91,0.03,0.07,0.19,0.32,0.04,0.63,10.91,0.29,42.55
,Saunth/Sonth chutney with tamarind/imli,141.53,33.55,1.01,0.15,31.31,0.93,54.74,2.71,592.16,32.10,43.79,46.68,0.00,38.95,46.27,244.38,267.27,0.10,0.30,0.01,0.29,0.05,0.23,0.00,0.03,3.79,0.00,0.95,0.00,5.61,0.06,0.02,0.27,0.09,0.22,0.26,5.61,0.54,83.59
,Makhana kheer,107.85,12.88,3.31,5.00,11.54,0.11,111.64,0.28,452.85,2878.30,1437.95,232.53,1.77,100.56,13.39,23.40,139.35,0.05,0.90,0.00,0.13,0.02,0.34,6.63,0.34,0.09,0.00,0.05,0.00,8.55,0.04,0.10,0.12,0.33,0.05,1.80,8.55,1.82,195.00
,Vermicelli kheer (Semiya/Seviyan ki kheer),120.07,15.87,3.35,5.00,12.79,0.50,104.80,0.30,504.28,2855.31,1450.34,229.31,2.12,90.34,10.67,22.52,116.57,0.05,1.46,0.00,0.06,0.03,0.35,7.93,0.36,0.16,0.00,0.09,0.00,7.01,0.03,0.10,0.12,0.32,0.04,1.78,7.01,1.74,190.27
,Semolina kheer (Suji/Rava kheer),113.21,15.88,3.43,4.20,12.88,0.51,105.99,0.34,476.14,2374.73,1241.54,198.45,0.00,91.64,10.71,22.66,122.23,0.06,1.33,0.00,0.11,0.03,0.40,0.00,0.32,0.37,0.00,0.10,0.00,7.61,0.04,0.10,0.14,0.33,0.04,1.75,7.61,1.76,186.81
,Paneer kheer,105.31,10.03,4.53,5.37,9.87,0.07,144.66,0.26,441.91,3119.73,1567.27,208.53,0.00,114.02,10.91,23.81,112.75,0.05,2.84,0.01,0.03,0.02,0.54,0.00,0.29,0.03,0.00,0.04,0.00,14.45,0.03,0.10,0.10,0.34,0.04,3.54,14.45,1.75,190.50
,Cabbage kheer (Pattagobhi ki kheer),83.51,9.73,2.87,3.80,9.28,0.51,102.74,0.24,350.89,2154.55,1126.50,181.33,0.00,83.04,10.99,22.67,136.05,0.04,0.94,0.00,0.05,0.02,0.31,0.00,0.29,0.05,0.00,17.81,0.00,13.17,0.03,0.10,0.12,0.31,0.05,1.79,13.17,6.82,201.26
,Carrot kheer (Gajar ki kheer),85.35,10.09,2.81,3.85,9.63,0.73,100.12,0.28,358.60,2161.02,1125.08,208.77,0.00,85.07,10.80,28.54,142.34,0.05,0.81,0.00,0.06,0.02,0.32,0.00,0.32,0.23,0.00,2.93,0.00,9.66,0.03,0.09,0.12,0.32,0.05,1.81,9.66,2.57,1632.53
,Cauliflower kheer (Phoolgobhi ki kheer),81.95,8.78,3.04,3.95,8.49,0.55,101.75,0.30,344.14,2254.54,1140.19,190.58,0.00,87.52,11.22,25.19,145.20,0.04,0.86,0.00,0.05,0.02,0.33,0.00,0.28,0.19,0.00,1.92,0.00,12.11,0.03,0.10,0.12,0.36,0.05,1.96,12.11,7.86,171.81
,Moong dal kheer,77.16,9.89,2.95,2.97,7.92,0.40,75.66,0.28,324.23,1690.49,855.02,141.55,0.00,76.45,11.91,16.34,123.56,0.06,2.46,0.00,0.05,0.05,0.31,0.00,0.22,0.09,0.00,0.34,0.00,7.97,0.03,0.07,0.13,0.27,0.03,1.25,7.97,1.25,146.93
,Phirni,116.12,16.11,3.49,4.34,10.79,0.36,104.57,0.23,487.80,2375.52,1344.98,234.85,0.00,96.30,11.53,22.47,114.51,0.06,0.93,0.00,0.08,0.03,0.39,0.00,0.39,0.01,0.00,0.17,0.00,7.01,0.04,0.10,0.27,0.34,0.05,1.75,7.01,1.74,175.60
,Shahi suji halwa,382.34,44.44,3.48,21.73,27.21,2.96,18.64,0.98,1595.02,12035.97,6342.52,1389.81,50.05,43.89,20.88,2.18,99.83,0.18,2.94,0.00,0.77,0.07,0.69,187.59,1.96,2.35,0.00,0.58,0.00,7.58,0.08,0.02,0.40,0.21,0.03,0.21,7.58,0.02,451.42
,Egg halwa (Ande ka halwa),299.74,39.59,7.85,13.41,37.85,0.49,35.77,1.45,1262.47,5538.16,3406.17,883.44,204.93,96.90,7.93,83.04,119.03,0.06,21.01,0.00,0.21,0.01,0.69,159.92,1.14,0.23,0.44,0.04,7.57,25.57,0.03,0.10,0.06,0.76,0.08,9.48,25.57,0.00,187.68
,Potato halwa (Aloo ka halwa),151.66,29.18,1.53,3.48,17.42,1.64,14.15,0.63,637.97,1576.78,1203.12,406.25,6.23,41.83,25.15,4.23,451.73,0.11,0.70,0.00,0.27,0.04,0.30,23.34,0.56,0.33,0.00,1.83,0.00,13.11,0.05,0.01,0.88,0.31,0.08,1.12,13.11,18.34,214.71
,Pumpkin halwa (Kaddu ka halwa),190.27,27.60,1.33,8.81,26.64,2.97,24.34,0.63,800.80,5136.91,1800.28,469.31,9.52,35.10,19.35,8.09,235.46,0.15,1.97,0.00,0.31,0.06,0.25,35.68,1.37,1.08,0.00,54.33,0.00,17.99,0.03,0.03,0.37,0.14,0.06,1.17,17.99,5.21,1021.15
,Moong dal halwa,349.80,40.23,8.35,17.68,25.59,2.65,110.40,1.51,1461.34,10384.38,4714.05,972.72,34.81,172.44,46.78,11.19,386.87,0.28,18.24,0.02,0.44,0.14,1.05,130.49,1.04,1.02,0.00,1.91,0.00,36.19,0.11,0.05,0.54,0.45,0.06,3.42,36.19,0.03,442.28
,Caramel custard (steamed),121.58,15.02,4.97,4.87,14.98,0.00,88.12,0.51,512.20,2387.76,1535.17,337.52,78.88,102.44,8.22,43.57,105.29,0.05,9.33,0.00,0.01,0.00,0.49,42.67,0.47,0.00,0.18,0.00,3.15,15.17,0.03,0.11,0.08,0.54,0.06,5.21,15.17,1.30,158.41
,Baked custard,106.53,9.45,5.41,5.30,9.42,0.00,95.32,0.54,447.46,2600.75,1672.11,367.62,85.92,111.51,8.82,47.13,114.36,0.04,10.16,0.00,0.01,0.00,0.53,46.48,0.51,0.00,0.20,0.00,3.43,16.53,0.04,0.12,0.08,0.58,0.07,5.68,16.53,1.42,172.54
,Soft Custard (stirred),109.18,11.19,5.01,5.07,11.15,0.00,95.82,0.49,459.08,2545.77,1573.47,330.44,73.35,106.83,8.73,122.17,111.75,0.04,8.79,0.00,0.01,0.00,0.49,39.68,0.46,0.00,0.17,0.00,2.93,14.96,0.03,0.12,0.08,0.54,0.06,5.08,14.96,1.45,171.34
,Chocolate ice cream,177.70,15.41,4.47,11.25,15.33,0.00,84.24,0.47,743.06,6645.93,3241.97,486.99,68.26,97.52,13.63,36.79,118.05,0.08,6.08,0.00,0.05,0.00,0.49,125.74,0.54,0.00,0.11,0.15,1.97,11.79,0.03,0.14,0.11,0.45,0.05,4.35,11.79,1.10,151.62
,Mango ice cream,125.69,11.14,3.40,7.62,11.01,0.52,67.17,0.39,525.33,4443.61,2141.03,373.04,55.21,71.52,9.60,29.13,115.29,0.05,5.22,0.01,0.07,0.00,0.35,101.48,0.43,1.02,0.09,1.31,1.60,31.20,0.03,0.11,0.13,0.37,0.07,3.75,31.20,9.86,506.30
,Fruit Ice cream (Phalon ka Ice cream),171.46,16.05,4.37,10.38,14.03,0.33,93.35,0.36,717.81,5380.76,2147.27,263.88,17.12,70.28,6.73,38.78,119.98,0.03,0.67,0.00,0.01,0.00,0.26,90.58,0.25,0.00,0.00,0.00,0.00,4.85,0.02,0.11,0.07,0.25,0.03,1.80,4.85,1.25,145.99
,Caramel ice cream,173.52,14.81,4.31,11.15,14.52,0.08,87.32,0.35,725.49,6418.38,3295.95,548.20,54.79,91.34,11.98,33.47,105.17,0.06,4.41,0.00,0.04,0.01,0.43,125.11,0.52,0.05,0.08,0.25,1.35,9.56,0.04,0.12,0.10,0.39,0.04,3.41,9.56,1.20,168.25
