,food_name,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,calcium_mg,iron_mg,energy_kj,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug
,Cold pineapple souffle,181.22,16.85,6.23,10.39,14.99,0.00,57.13,0.54,759.70,5977.63,2987.06,528.95,104.39,76.29,6.79,49.38,79.86,0.03,9.29,0.00,0.03,0.00,0.42,171.05,0.54,0.00,0.18,0.00,3.20,13.29,0.03,0.13,0.07,0.46,0.05,5.23,13.29,0.82,104.16
,Cold vanilla souffle,179.54,16.29,6.22,10.32,14.49,0.00,62.47,0.52,752.42,5947.10,2963.01,519.81,100.85,79.83,6.94,49.09,83.30,0.03,9.03,0.00,0.01,0.00,0.43,165.25,0.53,0.00,0.18,0.00,3.10,13.01,0.03,0.13,0.07,0.46,0.05,5.18,13.01,0.55,113.07
,Cold chocolate souffle,187.53,17.22,6.37,10.86,15.31,0.00,62.91,0.68,785.84,6279.44,3151.69,532.80,98.07,88.53,14.94,47.77,104.98,0.09,8.85,0.00,0.02,0.00,0.53,160.80,0.56,0.00,0.17,0.07,3.01,13.36,0.03,0.13,0.10,0.45,0.05,5.09,13.36,0.54,110.62
,Stewed fruit (with pear),74.32,18.22,0.25,0.32,17.67,2.84,5.94,0.21,314.90,61.20,21.89,64.44,0.00,5.18,5.87,1.70,68.56,0.07,0.03,0.01,0.06,0.01,0.06,0.00,0.19,1.11,0.00,8.08,0.00,3.60,0.01,0.01,0.08,0.03,0.06,0.88,3.60,2.06,57.78
,Apricot fool,240.79,33.64,1.54,11.35,21.29,1.00,26.37,0.73,1004.77,6722.00,3470.69,501.09,27.58,38.89,8.64,8.28,105.45,0.14,0.57,0.00,0.11,0.03,0.21,104.79,0.62,1.06,0.00,1.45,0.00,5.02,0.02,0.06,0.47,0.23,0.04,0.79,5.02,0.64,1198.22
,Pavlova,200.60,21.84,1.84,12.29,20.37,0.06,23.00,0.25,838.74,7679.78,3559.92,354.64,31.94,26.37,6.30,26.34,86.90,0.03,2.00,0.00,0.05,0.00,0.13,121.36,0.40,0.12,0.10,0.16,0.00,5.30,0.01,0.07,0.13,0.22,0.03,1.01,5.30,6.57,105.08
,Apple crumb pudding,220.85,35.17,1.54,8.87,27.69,1.33,38.49,1.05,926.97,5353.37,2144.81,379.57,21.68,26.04,10.25,59.36,159.24,0.08,1.28,0.00,0.14,0.44,0.22,97.51,0.24,0.51,0.00,1.81,0.00,8.01,0.05,0.03,0.34,0.05,0.04,0.16,8.01,3.66,166.66
,Steamed cake with chocolate sauce,301.91,29.06,4.49,19.01,19.72,0.29,67.76,0.85,1258.71,11625.02,5026.73,767.64,78.72,147.54,25.73,100.32,131.49,0.18,4.61,0.00,0.07,0.01,0.64,201.93,0.62,0.71,0.09,1.55,1.53,10.84,0.04,0.08,0.18,0.37,0.04,2.76,10.84,0.76,234.47
,Hot lemon souffle,155.25,16.31,5.29,7.93,12.07,0.14,48.77,0.55,650.28,4130.30,2335.07,566.49,116.79,90.50,9.20,47.75,106.74,0.04,9.89,0.00,0.04,0.01,0.33,100.54,0.45,0.38,0.54,0.64,4.46,17.04,0.04,0.09,0.15,0.71,0.05,8.12,17.04,10.64,127.65
,Gulab jamun with milk powder,471.15,28.24,0.85,40.15,27.04,0.05,26.13,0.13,1953.29,5034.48,8263.67,25183.02,1.25,22.38,3.16,67.28,33.68,0.04,0.25,0.00,0.01,0.00,0.12,3.53,19.58,0.11,0.00,2.52,0.00,1.51,0.01,0.03,0.03,0.08,0.01,0.35,1.51,0.14,11.27
